Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
624.8495,-4.64869,-4.5765,-4.60349
625.3317,-4.63556,-4.55735,-4.58549
625.8138,-4.62192,-4.53829,-4.56726
626.296,-4.60794,-4.51937,-4.5487
626.7781,-4.59392,-4.50077,-4.52983
627.2603,-4.58011,-4.48271,-4.51066
627.7424,-4.56654,-4.46539,-4.49131
628.2245,-4.55294,-4.44903,-4.47188
628.7067,-4.53889,-4.43374,-4.45244
629.1888,-4.52411,-4.41961,-4.43305
629.6709,-4.50855,-4.40668,-4.41371
630.1531,-4.49257,-4.39493,-4.39454
630.6352,-4.47679,-4.3843,-4.37573
631.1173,-4.46179,-4.37468,-4.35765
631.5995,-4.44789,-4.36581,-4.34071
632.0816,-4.43498,-4.3574,-4.32535
632.5637,-4.42254,-4.34907,-4.31188
633.0459,-4.4099,-4.34045,-4.30032
633.528,-4.39665,-4.33133,-4.29043
634.0101,-4.38276,-4.32162,-4.28169
634.4923,-4.36871,-4.31147,-4.27342
634.9744,-4.3553,-4.30106,-4.26491
635.4565,-4.3433,-4.29062,-4.2556
635.9387,-4.33315,-4.2803,-4.24519
636.4208,-4.32483,-4.2701,-4.23366
636.903,-4.31786,-4.25992,-4.22124
637.3851,-4.31154,-4.24965,-4.2083
637.8672,-4.30521,-4.23921,-4.19526
638.3494,-4.29839,-4.22869,-4.18242
638.8315,-4.29084,-4.21833,-4.16994
639.3137,-4.2825,-4.20853,-4.15781
639.7958,-4.27335,-4.19977,-4.14583
640.278,-4.2633,-4.19249,-4.13377
640.7601,-4.25228,-4.18701,-4.12137
641.2422,-4.24024,-4.1835,-4.1085
641.7244,-4.22733,-4.18193,-4.09519
642.2065,-4.21393,-4.18204,-4.0816
642.6886,-4.2006,-4.18347,-4.06807
643.1708,-4.1879,-4.18569,-4.05495
643.6529,-4.17624,-4.18816,-4.04262
644.135,-4.16573,-4.19036,-4.03133
644.6172,-4.15622,-4.19185,-4.02123
