temperature,signal
598.12402,0.00105
600.05249,0.00157
601.98095,-0.000579322
603.90942,0.000313976
605.83789,0.00124
607.76635,-0.000904015
609.69482,9.13504e-05
611.62329,6.61177e-05
613.55175,-0.000358025
615.48022,-0.00137
617.40869,-0.00161
619.33715,-0.000159525
621.26562,0.00113
623.19409,-0.00183
625.12255,0.000837388
627.05102,0.000890183
628.97949,-0.000571741
630.90796,0.000163034
632.83642,0.000319895
634.76489,0.000994071
636.69336,0.00149
638.62182,-0.00012072
640.55029,-0.000775647
642.47876,0.0011
644.40722,0.00124
646.33569,0.00295
648.26416,0.000644339
650.19262,-0.000682873
652.12109,0.000265055
654.04956,0.00146
655.97802,0.000291781
657.90649,0.000512797
659.83496,-0.00135
661.76342,-0.000681051
663.69189,0.00112
665.62036,0.00194
667.54882,0.00199
669.47729,0.00206
671.40576,0.000726609
673.33422,-0.000426691
675.26269,0.000401144
677.19116,0.00219
679.11963,0.0024
681.04809,0.00236
682.97656,0.00339
684.90503,0.0032
686.83349,0.00233
688.76196,0.00222
690.69043,0.00326
692.61889,0.00316
694.54736,0.0012
696.47583,0.000103078
698.40429,0.000813559
700.33276,0.00104
702.26123,-0.000657747
704.18969,-0.00157
706.11816,0.00159
708.04663,0.00209
709.97509,0.000335214
711.90356,-0.000564539
713.83203,0.000233924
715.76049,0.000858362
717.68896,0.00297
719.61743,0.00371
721.54589,0.00294
723.47436,0.00232
725.40283,0.00228
727.3313,0.00198
729.25976,0.000946021
731.18823,0.000654941
733.1167,0.00137
735.04516,0.00249
736.97363,0.00237
738.9021,0.00109
740.83056,0.00105
742.75903,0.00129
744.6875,0.0025
746.61596,0.00307
748.54443,0.00313
750.4729,0.00357
752.40136,0.00467
754.32983,0.00501
756.2583,0.00439
758.18676,0.00243
760.11523,0.00107
762.0437,0.00182
763.97216,0.00312
765.90063,0.00144
767.8291,0.00236
769.75756,0.00205
771.68603,0.000812011
773.6145,0.000667508
775.54296,0.00194
777.47143,0.00269
779.3999,0.000634297
781.32836,0.00145
783.25683,0.000217956
785.1853,0.00154
787.11376,0.00174
789.04223,-0.000793857
790.9707,-0.0012
792.89917,0.00196
794.82763,0.00159
796.7561,7.55764e-05
798.68457,0.000241703
800.61303,0.000540507
802.5415,3.80076e-05
804.46997,0.00172
806.39843,-0.00107
808.3269,-0.0012
810.25537,-0.00126
812.18383,-0.00121
814.1123,-0.0012
816.04077,-0.00161
817.96923,-0.00144
819.8977,-7.41111e-05
821.82617,0.00201
823.75464,0.00264
825.6831,0.00138
827.61157,-0.000281268
829.54003,-0.00034294
831.4685,0.00139
833.39697,0.00257
835.32543,0.00137
837.2539,0.00151
839.18237,0.00166
841.11084,0.00079665
843.0393,0.000389269
844.96777,-0.000920909
846.89624,0.00104
848.8247,-0.00236
850.75317,-0.00123
852.68164,0.00176
854.6101,0.00149
856.53857,5.64316e-05
858.46704,0.000882253
860.3955,0.000966092
862.32397,-0.00051929
